period,region,tax_type,accrued,paid,debt,taxpayers
2024-02,г. Минск,Налог на прибыль,1434153608.0,986507304.0,447646304.0,175108
2024-02,г. Минск,Подоходный налог,1527392643.0,1173810555.0,353582088.0,187505
2024-03,Брестская область,Акцизы,595809159.0,482780671.0,113028488.0,425840
2024-03,Брестская область,Имущественные налоги,464524381.0,419327902.0,45196479.0,284731
2024-03,Брестская область,НДС,669149940.0,580277322.0,88872618.0,359946
2024-03,Брестская область,Налог на прибыль,402599756.0,328474107.0,74125649.0,270426
2024-03,Брестская область,Подоходный налог,472843603.0,401170515.0,71673088.0,252765
2024-03,Витебская область,Акцизы,528437616.0,437347171.0,91090445.0,52270
2024-03,Витебская область,Имущественные налоги,232097070.0,209220140.0,22876930.0,183969
2024-03,Витебская область,НДС,491220395.0,352899366.0,138321029.0,322742
2024-03,Витебская область,Налог на прибыль,297063891.0,254363724.0,42700167.0,200234
2024-03,Витебская область,Подоходный налог,66039907.0,52999447.0,13040460.0,45197
2024-03,Гомельская область,Акцизы,649374011.0,488080584.0,161293427.0,283500
2024-03,Гомельская область,Имущественные налоги,351049215.0,280596491.0,70452724.0,413886
2024-03,Гомельская область,НДС,637882747.0,472085663.0,165797084.0,346792
2024-03,Гомельская область,Налог на прибыль,140200890.0,126566972.0,13633918.0,227029
2024-03,Гомельская область,Подоходный налог,536843895.0,401737382.0,135106513.0,304687
2024-03,Гродненская область,Акцизы,258001528.0,187478172.0,70523356.0,430811
2024-03,Гродненская область,Имущественные налоги,49216226.0,42372680.0,6843546.0,117662
2024-03,Гродненская область,НДС,542641904.0,477331746.0,65310158.0,395980
2024-03,Гродненская область,Налог на прибыль,374084147.0,289469299.0,84614848.0,331592
2024-03,Гродненская область,Подоходный налог,127829231.0,106768856.0,21060375.0,221880
2024-03,Минская область,Акцизы,717975854.0,530338268.0,187637586.0,425609
2024-03,Минская область,Имущественные налоги,353536041.0,258136691.0,95399350.0,196316
2024-03,Минская область,НДС,575440593.0,433867340.0,141573253.0,407124
2024-03,Минская область,Налог на прибыль,441442407.0,330607679.0,110834728.0,109876
2024-03,Минская область,Подоходный налог,245758298.0,191452316.0,54305982.0,126963
2024-03,Могилёвская область,Акцизы,367081178.0,244275133.0,122806045.0,104214
2024-03,Могилёвская область,Имущественные налоги,41669659.0,33902426.0,7767233.0,10038
2024-03,Могилёвская область,НДС,57435621.0,38735674.0,18699947.0,51756
2024-03,Могилёвская область,Налог на прибыль,413069755.0,341688261.0,71381494.0,75231
2024-03,Могилёвская область,Подоходный налог,421747454.0,290422005.0,131325449.0,19469
2024-03,г. Минск,Акцизы,1416186505.0,971970004.0,444216501.0,500881
2024-03,г. Минск,Имущественные налоги,1367900526.0,1185350080.0,182550446.0,363809
2024-03,г. Минск,НДС,631893217.0,481749610.0,150143607.0,173720
2024-03,г. Минск,Налог на прибыль,1650675332.0,1117111943.0,533563389.0,546751
2024-03,г. Минск,Подоходный налог,214676813.0,145433110.0,69243703.0,60631
2024-04,Брестская область,Акцизы,348055429.0,280032744.0,68022685.0,206016
2024-04,Брестская область,Имущественные налоги,494887035.0,326494870.0,168392165.0,246295
2024-04,Брестская область,НДС,526834268.0,359400401.0,167433867.0,161694
2024-04,Брестская область,Налог на прибыль,274400164.0,208646048.0,65754116.0,254249
2024-04,Брестская область,Подоходный налог,644514379.0,493397585.0,151116794.0,125287
2024-04,Витебская область,Акцизы,372358503.0,291712445.0,80646058.0,21739
2024-04,Витебская область,Имущественные налоги,452821089.0,357943425.0,94877664.0,108002
2024-04,Витебская область,НДС,303965178.0,251122937.0,52842241.0,270468
2024-04,Витебская область,Налог на прибыль,211178666.0,179271795.0,31906871.0,243800
2024-04,Витебская область,Подоходный налог,170537924.0,130714405.0,39823519.0,321955
2024-04,Гомельская область,Акцизы,299561274.0,257163864.0,42397410.0,186369
2024-04,Гомельская область,Имущественные налоги,215663750.0,147149876.0,68513874.0,233134
2024-04,Гомельская область,НДС,112611786.0,74887214.0,37724572.0,37974
2024-04,Гомельская область,Налог на прибыль,329642991.0,290503808.0,39139183.0,163695
2024-04,Гомельская область,Подоходный налог,180348093.0,132510980.0,47837113.0,31407
2024-04,Гродненская область,Акцизы,307647718.0,262712430.0,44935288.0,23932
2024-04,Гродненская область,Имущественные налоги,366894969.0,252508451.0,114386518.0,202947
2024-04,Гродненская область,НДС,156624392.0,118207132.0,38417260.0,338548
2024-04,Гродненская область,Налог на прибыль,131300895.0,120411575.0,10889320.0,414440
2024-04,Гродненская область,Подоходный налог,393076546.0,311227727.0,81848819.0,180140
2024-04,Минская область,Акцизы,271481959.0,187343870.0,84138089.0,302483
2024-04,Минская область,Имущественные налоги,223180554.0,179897955.0,43282599.0,453438
2024-04,Минская область,НДС,54319911.0,45714884.0,8605027.0,26071
2024-04,Минская область,Налог на прибыль,437155114.0,351713825.0,85441289.0,337124
2024-04,Минская область,Подоходный налог,301559103.0,275808169.0,25750934.0,49776
2024-04,Могилёвская область,Акцизы,340360173.0,254924414.0,85435759.0,281376
2024-04,Могилёвская область,Имущественные налоги,145358371.0,119959938.0,25398433.0,170950
2024-04,Могилёвская область,НДС,216507332.0,151306191.0,65201141.0,91261
2024-04,Могилёвская область,Налог на прибыль,179318550.0,120629586.0,58688964.0,117400
2024-04,Могилёвская область,Подоходный налог,356014272.0,259483145.0,96531127.0,82877
2024-04,г. Минск,Акцизы,776885731.0,516407665.0,260478066.0,604261
2024-04,г. Минск,Имущественные налоги,1239446184.0,896249563.0,343196621.0,464146
2024-04,г. Минск,НДС,1668822532.0,1399295363.0,269527169.0,597387
2024-04,г. Минск,Налог на прибыль,969063120.0,852586963.0,116476157.0,420541
2024-04,г. Минск,Подоходный налог,737197377.0,504043515.0,233153862.0,35221
2024-05,Брестская область,Акцизы,364879811.0,318210747.0,46669064.0,307105
2024-05,Брестская область,Имущественные налоги,163309554.0,109891195.0,53418359.0,179538
2024-05,Брестская область,НДС,103051979.0,87399769.0,15652210.0,434326
2024-05,Брестская область,Налог на прибыль,635923413.0,493185845.0,142737568.0,229805
2024-05,Брестская область,Подоходный налог,318089505.0,210274874.0,107814631.0,159117
2024-05,Витебская область,Акцизы,376051238.0,312624728.0,63426510.0,155179
2024-05,Витебская область,Имущественные налоги,253138449.0,210830812.0,42307637.0,8433
2024-05,Витебская область,НДС,64092674.0,43551371.0,20541303.0,157971
2024-05,Витебская область,Налог на прибыль,397161465.0,283305000.0,113856465.0,50600
2024-05,Витебская область,Подоходный налог,393515643.0,347739254.0,45776389.0,313309
2024-05,Гомельская область,Акцизы,273853829.0,251766589.0,22087240.0,360865
2024-05,Гомельская область,Имущественные налоги,523186150.0,381935179.0,141250971.0,298233
2024-05,Гомельская область,НДС,586727336.0,516556543.0,70170793.0,379824
2024-05,Гомельская область,Налог на прибыль,545093327.0,404633828.0,140459499.0,201573
2024-05,Гомельская область,Подоходный налог,189696764.0,137378921.0,52317843.0,215901
2024-05,Гродненская область,Акцизы,142687559.0,105280951.0,37406608.0,363596
2024-05,Гродненская область,Имущественные налоги,518346730.0,412620217.0,105726513.0,428580
2024-05,Гродненская область,НДС,396922600.0,356091436.0,40831164.0,87929
2024-05,Гродненская область,Налог на прибыль,192118092.0,142683987.0,49434105.0,184711
2024-05,Гродненская область,Подоходный налог,343777125.0,229689530.0,114087595.0,132849
2024-05,Минская область,Акцизы,576682621.0,476690266.0,99992355.0,227023
2024-05,Минская область,Имущественные налоги,440735796.0,300056500.0,140679296.0,378765
2024-05,Минская область,НДС,154401719.0,111951432.0,42450287.0,290387
2024-05,Минская область,Налог на прибыль,802445728.0,677735957.0,124709771.0,385321
2024-05,Минская область,Подоходный налог,358894369.0,293394920.0,65499449.0,293668
2024-05,Могилёвская область,Акцизы,137729759.0,118812474.0,18917285.0,297803
2024-05,Могилёвская область,Имущественные налоги,340174809.0,312474195.0,27700614.0,180536
2024-05,Могилёвская область,НДС,304069965.0,246144969.0,57924996.0,233831
2024-05,Могилёвская область,Налог на прибыль,106334745.0,85238159.0,21096586.0,108729
2024-05,Могилёвская область,Подоходный налог,273425351.0,201534426.0,71890925.0,80605
2024-05,г. Минск,Акцизы,477759328.0,368360076.0,109399252.0,25128
2024-05,г. Минск,Имущественные налоги,997351173.0,739526940.0,257824233.0,360439
2024-05,г. Минск,НДС,1002242008.0,782044004.0,220198004.0,348269
2024-05,г. Минск,Налог на прибыль,638253202.0,483546483.0,154706719.0,230425
2024-05,г. Минск,Подоходный налог,666454249.0,538843898.0,127610351.0,331369
2024-06,Брестская область,Акцизы,144581692.0,94163190.0,50418502.0,268910
2024-06,Брестская область,Имущественные налоги,101216528.0,72394363.0,28822165.0,54320
2024-06,Брестская область,НДС,548517623.0,363729555.0,184788068.0,143131
2024-06,Брестская область,Налог на прибыль,57741355.0,40467852.0,17273503.0,350318
2024-06,Брестская область,Подоходный налог,580233945.0,384573828.0,195660117.0,279369
2024-06,Витебская область,Акцизы,273611033.0,180051214.0,93559819.0,265703
2024-06,Витебская область,Имущественные налоги,480077297.0,340094457.0,139982840.0,200568
2024-06,Витебская область,НДС,336226016.0,288714958.0,47511058.0,266200
2024-06,Витебская область,Налог на прибыль,583592617.0,507464725.0,76127892.0,376607
2024-06,Витебская область,Подоходный налог,183019992.0,141420190.0,41599802.0,108724
2024-06,Гомельская область,Акцизы,57029005.0,39022992.0,18006013.0,257837
2024-06,Гомельская область,Имущественные налоги,120652219.0,78554494.0,42097725.0,419494
2024-06,Гомельская область,НДС,228236678.0,193042467.0,35194211.0,366595
2024-06,Гомельская область,Налог на прибыль,398783748.0,333836138.0,64947610.0,32276
2024-06,Гомельская область,Подоходный налог,530580083.0,472378235.0,58201848.0,62658
2024-06,Гродненская область,Акцизы,526814449.0,423070568.0,103743881.0,291087
2024-06,Гродненская область,Имущественные налоги,453573382.0,362611974.0,90961408.0,106183
2024-06,Гродненская область,НДС,523986995.0,428560500.0,95426495.0,72916
2024-06,Гродненская область,Налог на прибыль,162108177.0,115493281.0,46614896.0,16037
2024-06,Гродненская область,Подоходный налог,162389498.0,118476764.0,43912734.0,153799
2024-06,Минская область,Акцизы,439448350.0,366710752.0,72737598.0,111851
2024-06,Минская область,Имущественные налоги,437406454.0,315061291.0,122345163.0,348471
2024-06,Минская область,НДС,444930157.0,336551382.0,108378775.0,100558
2024-06,Минская область,Налог на прибыль,124837806.0,92371915.0,32465891.0,234996
2024-06,Минская область,Подоходный налог,193539216.0,170884760.0,22654456.0,8569
2024-06,Могилёвская область,Акцизы,361751610.0,306781146.0,54970464.0,246839
2024-06,Могилёвская область,Имущественные налоги,144381169.0,127333416.0,17047753.0,360168
2024-06,Могилёвская область,НДС,373950357.0,295023431.0,78926926.0,344866
2024-06,Могилёвская область,Налог на прибыль,369693610.0,255210968.0,114482642.0,172491
2024-06,Могилёвская область,Подоходный налог,54125819.0,41143719.0,12982100.0,285496
2024-06,г. Минск,Акцизы,1581819843.0,1054034076.0,527785767.0,80465
2024-06,г. Минск,Имущественные налоги,1777483979.0,1305373367.0,472110612.0,255154
2024-06,г. Минск,НДС,493724667.0,407959249.0,85765418.0,374860
2024-06,г. Минск,Налог на прибыль,1266976371.0,907709998.0,359266373.0,66035
2024-06,г. Минск,Подоходный налог,1424476974.0,939695470.0,484781504.0,343273
2024-07,Брестская область,Акцизы,512701568.0,352330699.0,160370869.0,399994
2024-07,Брестская область,Имущественные налоги,480965279.0,440484126.0,40481153.0,284594
2024-07,Брестская область,НДС,309002560.0,222496909.0,86505651.0,60497
2024-07,Брестская область,Налог на прибыль,317014330.0,231290157.0,85724173.0,147135
2024-07,Брестская область,Подоходный налог,70972159.0,58635791.0,12336368.0,263249
2024-07,Витебская область,Акцизы,371651613.0,253680821.0,117970792.0,90360
2024-07,Витебская область,Имущественные налоги,183091037.0,156580195.0,26510842.0,18165
2024-07,Витебская область,НДС,125211749.0,109981640.0,15230109.0,299246
2024-07,Витебская область,Налог на прибыль,101360067.0,86002491.0,15357576.0,287896
2024-07,Витебская область,Подоходный налог,311522546.0,223791248.0,87731298.0,197371
2024-07,Гомельская область,Акцизы,260754122.0,206786188.0,53967934.0,218928
2024-07,Гомельская область,Имущественные налоги,175203078.0,155888162.0,19314916.0,77167
2024-07,Гомельская область,НДС,519055771.0,456016035.0,63039736.0,253369
2024-07,Гомельская область,Налог на прибыль,487524854.0,386767901.0,100756953.0,283924
2024-07,Гомельская область,Подоходный налог,142389526.0,101982215.0,40407311.0,389107
2024-07,Гродненская область,Акцизы,258826826.0,181322302.0,77504524.0,362852
2024-07,Гродненская область,Имущественные налоги,551072243.0,448680203.0,102392040.0,35482
2024-07,Гродненская область,НДС,456137978.0,311966101.0,144171877.0,196572
2024-07,Гродненская область,Налог на прибыль,514262237.0,338443556.0,175818681.0,83317
2024-07,Гродненская область,Подоходный налог,97090409.0,67396837.0,29693572.0,201283
2024-07,Минская область,Акцизы,437583344.0,308305378.0,129277966.0,381108
2024-07,Минская область,Имущественные налоги,61083874.0,41336045.0,19747829.0,462334
2024-07,Минская область,НДС,313373816.0,238310695.0,75063121.0,14536
2024-07,Минская область,Налог на прибыль,327154074.0,227036848.0,100117226.0,143032
2024-07,Минская область,Подоходный налог,461289303.0,324341914.0,136947389.0,158015
2024-07,Могилёвская область,Акцизы,270998713.0,180690299.0,90308414.0,382696
2024-07,Могилёвская область,Имущественные налоги,111167057.0,91438649.0,19728408.0,323628
2024-07,Могилёвская область,НДС,315667959.0,218213944.0,97454015.0,314386
2024-07,Могилёвская область,Налог на прибыль,326510857.0,282197311.0,44313546.0,230584
2024-07,Могилёвская область,Подоходный налог,308639021.0,229148730.0,79490291.0,145579
2024-07,г. Минск,Акцизы,695488119.0,526171585.0,169316534.0,389968
2024-07,г. Минск,Имущественные налоги,415060023.0,379527005.0,35533018.0,621247
2024-07,г. Минск,НДС,1468258844.0,1248406802.0,219852042.0,419568
2024-07,г. Минск,Налог на прибыль,1365289344.0,924250191.0,441039153.0,14040
2024-07,г. Минск,Подоходный налог,1494214843.0,1013445354.0,480769489.0,505944
2024-08,Брестская область,Акцизы,431736191.0,391709526.0,40026665.0,236428
2024-08,Брестская область,Имущественные налоги,205140627.0,183762566.0,21378061.0,117384
2024-08,Брестская область,НДС,123827548.0,81148766.0,42678782.0,268426
2024-08,Брестская область,Налог на прибыль,554850076.0,401873017.0,152977059.0,262689
2024-08,Брестская область,Подоходный налог,461311400.0,407047436.0,54263964.0,84962
2024-08,Витебская область,Акцизы,222368370.0,159201377.0,63166993.0,274554
2024-08,Витебская область,Имущественные налоги,387214347.0,308620703.0,78593644.0,339252
2024-08,Витебская область,НДС,388655071.0,286257135.0,102397936.0,117024
2024-08,Витебская область,Налог на прибыль,411079879.0,316475838.0,94604041.0,378521
2024-08,Витебская область,Подоходный налог,264391252.0,173512430.0,90878822.0,159858
2024-08,Гомельская область,Акцизы,177757890.0,115902926.0,61854964.0,344432
2024-08,Гомельская область,Имущественные налоги,278433996.0,197435120.0,80998876.0,260463
2024-08,Гомельская область,НДС,483182988.0,441684912.0,41498076.0,400424
2024-08,Гомельская область,Налог на прибыль,417689292.0,304126439.0,113562853.0,99980
2024-08,Гомельская область,Подоходный налог,575745829.0,448945905.0,126799924.0,314530
2024-08,Гродненская область,Акцизы,163859177.0,135860949.0,27998228.0,106232
2024-08,Гродненская область,Имущественные налоги,187300922.0,128724306.0,58576616.0,420273
2024-08,Гродненская область,НДС,311012577.0,213774137.0,97238440.0,342186
2024-08,Гродненская область,Налог на прибыль,593890637.0,485393055.0,108497582.0,74806
2024-08,Гродненская область,Подоходный налог,331496531.0,304852354.0,26644177.0,50355
2024-08,Минская область,Акцизы,390199927.0,263293407.0,126906520.0,214457
2024-08,Минская область,Имущественные налоги,290476295.0,215660598.0,74815697.0,194496
2024-08,Минская область,НДС,244973002.0,202886357.0,42086645.0,438651
2024-08,Минская область,Налог на прибыль,767739183.0,604527215.0,163211968.0,283872
2024-08,Минская область,Подоходный налог,382758060.0,325113889.0,57644171.0,428239
2024-08,Могилёвская область,Акцизы,236162531.0,176035829.0,60126702.0,139446
2024-08,Могилёвская область,Имущественные налоги,411439398.0,318670675.0,92768723.0,68418
2024-08,Могилёвская область,НДС,377946161.0,288880788.0,89065373.0,328019
2024-08,Могилёвская область,Налог на прибыль,472599798.0,319337457.0,153262341.0,293335
2024-08,Могилёвская область,Подоходный налог,280796295.0,232001036.0,48795259.0,8659
2024-08,г. Минск,Акцизы,854089009.0,760969116.0,93119893.0,37009
2024-08,г. Минск,Имущественные налоги,961860620.0,801312036.0,160548584.0,228732
2024-08,г. Минск,НДС,1316818212.0,1080734249.0,236083963.0,85816
2024-08,г. Минск,Налог на прибыль,487154341.0,378836388.0,108317953.0,437459
2024-08,г. Минск,Подоходный налог,309928207.0,262220535.0,47707672.0,551727
2024-09,Брестская область,Акцизы,43023006.0,37589530.0,5433476.0,251528
2024-09,Брестская область,Имущественные налоги,405678417.0,295355213.0,110323204.0,103614
2024-09,Брестская область,НДС,108822531.0,94919262.0,13903269.0,36438
2024-09,Брестская область,Налог на прибыль,184892683.0,163754257.0,21138426.0,345854
2024-09,Брестская область,Подоходный налог,298951125.0,247069877.0,51881248.0,80226
2024-09,Витебская область,Акцизы,189601290.0,169032983.0,20568307.0,8205
2024-09,Витебская область,Имущественные налоги,135042121.0,112449053.0,22593068.0,118775
2024-09,Витебская область,НДС,268189675.0,217882866.0,50306809.0,17852
2024-09,Витебская область,Налог на прибыль,223810786.0,161834922.0,61975864.0,226986
2024-09,Витебская область,Подоходный налог,318303450.0,272033519.0,46269931.0,115935
2024-09,Гомельская область,Акцизы,388853914.0,290631299.0,98222615.0,324323
2024-09,Гомельская область,Имущественные налоги,267910096.0,186882654.0,81027442.0,84923
2024-09,Гомельская область,НДС,694053231.0,541361520.0,152691711.0,77073
2024-09,Гомельская область,Налог на прибыль,278442372.0,197082880.0,81359492.0,79992
2024-09,Гомельская область,Подоходный налог,581680402.0,411886807.0,169793595.0,393071
2024-09,Гродненская область,Акцизы,302898941.0,223376732.0,79522209.0,27517
2024-09,Гродненская область,Имущественные налоги,662060948.0,524376332.0,137684616.0,337736
2024-09,Гродненская область,НДС,342554413.0,279123944.0,63430469.0,140800
2024-09,Гродненская область,Налог на прибыль,49494147.0,33801118.0,15693029.0,57274
2024-09,Гродненская область,Подоходный налог,442321718.0,299431627.0,142890091.0,332161
2024-09,Минская область,Акцизы,233132447.0,159020993.0,74111454.0,329100
2024-09,Минская область,Имущественные налоги,556018874.0,416643942.0,139374932.0,183300
2024-09,Минская область,НДС,186123466.0,164238373.0,21885093.0,131003
2024-09,Минская область,Налог на прибыль,375863444.0,320659932.0,55203512.0,104749
2024-09,Минская область,Подоходный налог,657400245.0,443774184.0,213626061.0,209491
2024-09,Могилёвская область,Акцизы,253934954.0,228599289.0,25335665.0,186699
2024-09,Могилёвская область,Имущественные налоги,377201469.0,281709769.0,95491700.0,331276
2024-09,Могилёвская область,НДС,83049195.0,57801585.0,25247610.0,248959
2024-09,Могилёвская область,Налог на прибыль,285172751.0,200238680.0,84934071.0,51733
2024-09,Могилёвская область,Подоходный налог,197902172.0,149877600.0,48024572.0,200749
2024-09,г. Минск,Акцизы,1555358741.0,1284896715.0,270462026.0,499392
2024-09,г. Минск,Имущественные налоги,639938383.0,416049579.0,223888804.0,50702
2024-09,г. Минск,НДС,1340161646.0,1021873013.0,318288633.0,256794
2024-09,г. Минск,Налог на прибыль,1256577701.0,868863027.0,387714674.0,534371
2024-09,г. Минск,Подоходный налог,1168062733.0,1040882165.0,127180568.0,450356
2024-10,Брестская область,Акцизы,271960579.0,221361521.0,50599058.0,372993
2024-10,Брестская область,Имущественные налоги,498442143.0,433126276.0,65315867.0,218985
2024-10,Брестская область,НДС,815241590.0,589413378.0,225828212.0,150723
2024-10,Брестская область,Налог на прибыль,95460865.0,66885085.0,28575780.0,412629
2024-10,Брестская область,Подоходный налог,263784225.0,209669350.0,54114875.0,357724
2024-10,Витебская область,Акцизы,458308388.0,362525483.0,95782905.0,343434
2024-10,Витебская область,Имущественные налоги,422634390.0,317701955.0,104932435.0,286242
2024-10,Витебская область,НДС,283045278.0,193027752.0,90017526.0,374216
2024-10,Витебская область,Налог на прибыль,588122205.0,455907889.0,132214316.0,164456
2024-10,Витебская область,Подоходный налог,540359195.0,395556487.0,144802708.0,264093
2024-10,Гомельская область,Акцизы,514716208.0,340179952.0,174536256.0,86609
2024-10,Гомельская область,Имущественные налоги,493355929.0,325463304.0,167892625.0,99541
2024-10,Гомельская область,НДС,206947725.0,153745209.0,53202516.0,90443
2024-10,Гомельская область,Налог на прибыль,750393723.0,664308895.0,86084828.0,360463
2024-10,Гомельская область,Подоходный налог,115504901.0,100306973.0,15197928.0,161017
2024-10,Гродненская область,Акцизы,568088304.0,517176663.0,50911641.0,76175
2024-10,Гродненская область,Имущественные налоги,604359099.0,550911470.0,53447629.0,177434
2024-10,Гродненская область,НДС,362566642.0,327283835.0,35282807.0,390993
2024-10,Гродненская область,Налог на прибыль,469542196.0,377141452.0,92400744.0,215585
2024-10,Гродненская область,Подоходный налог,672959389.0,589089180.0,83870209.0,50625
2024-10,Минская область,Акцизы,490798294.0,362843909.0,127954385.0,12091
2024-10,Минская область,Имущественные налоги,273899663.0,214746298.0,59153365.0,342173
2024-10,Минская область,НДС,246526754.0,163741965.0,82784789.0,303388
2024-10,Минская область,Налог на прибыль,747837841.0,599706393.0,148131448.0,23696
2024-10,Минская область,Подоходный налог,873359642.0,704210780.0,169148862.0,167593
2024-10,Могилёвская область,Акцизы,245236132.0,165346385.0,79889747.0,299072
2024-10,Могилёвская область,Имущественные налоги,187110334.0,144679144.0,42431190.0,269701
2024-10,Могилёвская область,НДС,465469671.0,406869450.0,58600221.0,370040
2024-10,Могилёвская область,Налог на прибыль,212539584.0,189735962.0,22803622.0,235645
2024-10,Могилёвская область,Подоходный налог,312210604.0,213637137.0,98573467.0,347720
2024-10,г. Минск,Акцизы,1603483258.0,1400214926.0,203268332.0,496946
2024-10,г. Минск,Имущественные налоги,1134377845.0,803055029.0,331322816.0,444146
2024-10,г. Минск,НДС,1277660545.0,986076120.0,291584425.0,246041
2024-10,г. Минск,Налог на прибыль,2032220151.0,1372871886.0,659348265.0,201303
2024-10,г. Минск,Подоходный налог,924362728.0,739201537.0,185161191.0,274093
2024-11,Брестская область,Акцизы,216871751.0,198432126.0,18439625.0,16338
