period,region,tax_type,accrued,paid,debt,taxpayers,penalties
2024-01,г. Минск,НДС,220503178.0,194444430.0,26058748.0,487183,1621976.0
2024-01,г. Минск,Налог на прибыль,980231493.0,807557425.0,172674068.0,245398,18587301.0
2024-01,г. Минск,Подоходный налог,951901376.0,820764932.0,131136444.0,544097,14234884.0
2024-02,Брестская область,Акцизы,229466378.0,164508274.0,64958104.0,124541,10143464.0
2024-02,Брестская область,Имущественные налоги,159460537.0,119759598.0,39700939.0,401547,6462272.0
2024-02,Брестская область,НДС,354721365.0,270709464.0,84011901.0,10887,14390652.0
2024-02,Брестская область,Налог на прибыль,437518888.0,378515359.0,59003529.0,199982,7598596.0
2024-02,Брестская область,Подоходный налог,561050403.0,435483414.0,125566989.0,243359,8059984.0
2024-02,Витебская область,Акцизы,502590300.0,442181730.0,60408570.0,185308,4445756.0
2024-02,Витебская область,Имущественные налоги,453859292.0,378424665.0,75434627.0,27731,6890112.0
2024-02,Витебская область,НДС,197775104.0,132108013.0,65667091.0,178970,10323283.0
2024-02,Витебская область,Налог на прибыль,464796078.0,316610869.0,148185209.0,198475,10773567.0
2024-02,Витебская область,Подоходный налог,279416251.0,192474605.0,86941646.0,339460,7565107.0
2024-02,Гомельская область,Акцизы,486202317.0,428608968.0,57593349.0,223115,5762885.0
2024-02,Гомельская область,Имущественные налоги,215212136.0,177220842.0,37991294.0,350960,2564100.0
2024-02,Гомельская область,НДС,639365621.0,514198814.0,125166807.0,101924,7059788.0
2024-02,Гомельская область,Налог на прибыль,200016429.0,175567468.0,24448961.0,412883,4335881.0
2024-02,Гомельская область,Подоходный налог,43073233.0,29180023.0,13893210.0,169655,788510.0
2024-02,Гродненская область,Акцизы,317244415.0,230891125.0,86353290.0,229544,6589844.0
2024-02,Гродненская область,Имущественные налоги,446578900.0,392592572.0,53986328.0,142310,8344717.0
2024-02,Гродненская область,НДС,395389636.0,271924268.0,123465368.0,260512,12864550.0
2024-02,Гродненская область,Налог на прибыль,123044706.0,111502084.0,11542622.0,303323,1298757.0
2024-02,Гродненская область,Подоходный налог,277830885.0,208074763.0,69756122.0,96607,6928899.0
2024-02,Минская область,Акцизы,238774942.0,156806385.0,81968557.0,285818,5226861.0
2024-02,Минская область,Имущественные налоги,106513419.0,83284727.0,23228692.0,194459,4047159.0
2024-02,Минская область,НДС,790255762.0,562667736.0,227588026.0,139699,14983992.0
2024-02,Минская область,Налог на прибыль,59088490.0,40498400.0,18590090.0,306891,3171156.0
2024-02,Минская область,Подоходный налог,147101530.0,123190302.0,23911228.0,333494,3695150.0
2024-02,Могилёвская область,Акцизы,25752470.0,20373051.0,5379419.0,237425,827902.0
2024-02,Могилёвская область,Имущественные налоги,326769617.0,266763193.0,60006424.0,216977,7407408.0
2024-02,Могилёвская область,НДС,292799822.0,238890260.0,53909562.0,250110,7781470.0
2024-02,Могилёвская область,Налог на прибыль,230597141.0,199392968.0,31204173.0,254458,2588069.0
2024-02,Могилёвская область,Подоходный налог,237073458.0,162893206.0,74180252.0,43228,11432285.0
2024-02,г. Минск,Акцизы,938899892.0,807359366.0,131540526.0,200785,9037712.0
2024-02,г. Минск,Имущественные налоги,479289536.0,334736983.0,144552553.0,245508,10918995.0
2024-02,г. Минск,НДС,944732001.0,841297047.0,103434954.0,143995,9419902.0
2024-02,г. Минск,Налог на прибыль,713240733.0,644013267.0,69227466.0,528234,10941030.0
2024-02,г. Минск,Подоходный налог,1552753425.0,1286686860.0,266066565.0,233221,39133775.0
2024-03,Брестская область,Акцизы,81135974.0,68031915.0,13104059.0,313957,998944.0
2024-03,Брестская область,Имущественные налоги,62335534.0,54814153.0,7521381.0,115445,1283248.0
2024-03,Брестская область,НДС,222518718.0,150070850.0,72447868.0,261286,5890566.0
2024-03,Брестская область,Налог на прибыль,160795303.0,104752682.0,56042621.0,73939,8641359.0
2024-03,Брестская область,Подоходный налог,583714424.0,501835251.0,81879173.0,369048,11079478.0
2024-03,Витебская область,Акцизы,314415409.0,252963405.0,61452004.0,290540,10630163.0
2024-03,Витебская область,Имущественные налоги,66211115.0,44676921.0,21534194.0,336862,2360425.0
2024-03,Витебская область,НДС,553510303.0,453935570.0,99574733.0,38209,14488198.0
2024-03,Витебская область,Налог на прибыль,428391073.0,349739938.0,78651135.0,9973,11187745.0
2024-03,Витебская область,Подоходный налог,431570437.0,312070682.0,119499755.0,50934,15475298.0
2024-03,Гомельская область,Акцизы,372163315.0,283948705.0,88214610.0,135449,6997807.0
2024-03,Гомельская область,Имущественные налоги,286748172.0,218035120.0,68713052.0,249725,8690814.0
2024-03,Гомельская область,НДС,295002868.0,247489560.0,47513308.0,133675,8185463.0
2024-03,Гомельская область,Налог на прибыль,623190679.0,456343990.0,166846689.0,61224,21594697.0
2024-03,Гомельская область,Подоходный налог,132104319.0,100278973.0,31825346.0,67574,2084505.0
2024-03,Гродненская область,Акцизы,229655064.0,153743954.0,75911110.0,321245,6564754.0
2024-03,Гродненская область,Имущественные налоги,520162944.0,450442909.0,69720035.0,112470,7964706.0
2024-03,Гродненская область,НДС,96257713.0,80812257.0,15445456.0,241977,2082299.0
2024-03,Гродненская область,Налог на прибыль,245961034.0,208798913.0,37162121.0,248727,4291195.0
2024-03,Гродненская область,Подоходный налог,365937464.0,292116527.0,73820937.0,131445,9698714.0
2024-03,Минская область,Акцизы,572945242.0,508422444.0,64522798.0,339324,4118783.0
2024-03,Минская область,Имущественные налоги,649739999.0,475298061.0,174441938.0,255198,11229960.0
2024-03,Минская область,НДС,441683921.0,404754957.0,36928964.0,11967,2415236.0
2024-03,Минская область,Налог на прибыль,156839317.0,121184384.0,35654933.0,321391,3908182.0
2024-03,Минская область,Подоходный налог,808506691.0,664600544.0,143906147.0,65335,20030660.0
2024-03,Могилёвская область,Акцизы,218554592.0,173045809.0,45508783.0,10713,3256968.0
2024-03,Могилёвская область,Имущественные налоги,258017829.0,216853592.0,41164237.0,123065,5487832.0
2024-03,Могилёвская область,НДС,302154871.0,222008657.0,80146214.0,141256,4160291.0
2024-03,Могилёвская область,Налог на прибыль,234905235.0,213476211.0,21429024.0,58251,3222360.0
2024-03,Могилёвская область,Подоходный налог,205470238.0,154207597.0,51262641.0,300242,6567219.0
2024-03,г. Минск,Акцизы,1643260753.0,1313471676.0,329789077.0,258668,49942992.0
2024-03,г. Минск,Имущественные налоги,1022077524.0,705132828.0,316944696.0,214428,33890112.0
2024-03,г. Минск,НДС,764555055.0,689195756.0,75359299.0,279225,4915194.0
2024-03,г. Минск,Налог на прибыль,1421880804.0,1216964575.0,204916229.0,198994,19947563.0
2024-03,г. Минск,Подоходный налог,1427601901.0,1089294857.0,338307044.0,66756,46436053.0
2024-04,Брестская область,Акцизы,690287419.0,632190125.0,58097294.0,265737,8446647.0
2024-04,Брестская область,Имущественные налоги,323561030.0,274299396.0,49261634.0,360747,6005165.0
2024-04,Брестская область,НДС,436476315.0,354239307.0,82237008.0,173676,7084132.0
2024-04,Брестская область,Налог на прибыль,617265945.0,521335352.0,95930593.0,351513,14548898.0
2024-04,Брестская область,Подоходный налог,138441384.0,126685995.0,11755389.0,304813,1317494.0
2024-04,Витебская область,Акцизы,395857612.0,340003918.0,55853694.0,290162,8161682.0
2024-04,Витебская область,Имущественные налоги,258774197.0,194243580.0,64530617.0,298141,4143298.0
2024-04,Витебская область,НДС,470662937.0,321672155.0,148990782.0,271971,22505744.0
2024-04,Витебская область,Налог на прибыль,79827413.0,63859908.0,15967505.0,335592,2717848.0
2024-04,Витебская область,Подоходный налог,540534901.0,419207969.0,121326932.0,217098,12557930.0
2024-04,Гомельская область,Акцизы,286275352.0,192634435.0,93640917.0,355029,13418096.0
2024-04,Гомельская область,Имущественные налоги,430734407.0,348630600.0,82103807.0,345900,7038534.0
2024-04,Гомельская область,НДС,254479547.0,181526493.0,72953054.0,340038,11786025.0
2024-04,Гомельская область,Налог на прибыль,477394405.0,340939692.0,136454713.0,396419,12996504.0
2024-04,Гомельская область,Подоходный налог,282919442.0,235634436.0,47285006.0,8768,4831403.0
2024-04,Гродненская область,Акцизы,464595179.0,337679872.0,126915307.0,330622,10224630.0
2024-04,Гродненская область,Имущественные налоги,192118092.0,142683987.0,49434105.0,184711,8636000.0
2024-04,Гродненская область,НДС,311759713.0,227590126.0,84169587.0,322282,5705584.0
2024-04,Гродненская область,Налог на прибыль,251322095.0,167917088.0,83405007.0,57425,4361827.0
2024-04,Гродненская область,Подоходный налог,76180686.0,57588001.0,18592685.0,255583,2130706.0
2024-04,Минская область,Акцизы,373419720.0,262040870.0,111378850.0,80482,18997875.0
2024-04,Минская область,Имущественные налоги,296331844.0,224503724.0,71828120.0,176158,9481900.0
2024-04,Минская область,НДС,443002052.0,379202587.0,63799465.0,275255,6230598.0
2024-04,Минская область,Налог на прибыль,547919475.0,490705233.0,57214242.0,400417,9184926.0
2024-04,Минская область,Подоходный налог,640576096.0,562431767.0,78144329.0,251552,11715522.0
2024-04,Могилёвская область,Акцизы,315481053.0,220836240.0,94644813.0,355682,5985929.0
2024-04,Могилёвская область,Имущественные налоги,340174809.0,312474195.0,27700614.0,180536,4318609.0
2024-04,Могилёвская область,НДС,299466553.0,237469896.0,61996657.0,137736,7860979.0
2024-04,Могилёвская область,Налог на прибыль,196126076.0,157215082.0,38910994.0,360440,5910468.0
2024-04,Могилёвская область,Подоходный налог,283179549.0,202521647.0,80657902.0,247287,5662782.0
2024-04,г. Минск,Акцизы,1128433617.0,807721739.0,320711878.0,323693,42618289.0
2024-04,г. Минск,Имущественные налоги,1288859311.0,939392867.0,349466444.0,37772,44115900.0
2024-04,г. Минск,НДС,916972581.0,733680532.0,183292049.0,539796,32761954.0
2024-04,г. Минск,Налог на прибыль,209812994.0,144913996.0,64898998.0,250639,10898065.0
2024-04,г. Минск,Подоходный налог,1323497010.0,1000556637.0,322940373.0,87128,47857478.0
2024-05,Брестская область,Акцизы,521676051.0,369563681.0,152112370.0,212307,9150181.0
2024-05,Брестская область,Имущественные налоги,458875301.0,343061939.0,115813362.0,299188,17823417.0
2024-05,Брестская область,НДС,92015025.0,65813057.0,26201968.0,54320,3320455.0
2024-05,Брестская область,Налог на прибыль,484048345.0,347861895.0,136186450.0,353793,14855145.0
2024-05,Брестская область,Подоходный налог,430032667.0,378604955.0,51427712.0,366495,3659424.0
2024-05,Витебская область,Акцизы,41949521.0,37430366.0,4519155.0,43327,591254.0
2024-05,Витебская область,Имущественные налоги,307027112.0,199899842.0,107127270.0,403478,13498363.0
2024-05,Витебская область,НДС,240526283.0,178843134.0,61683149.0,146270,8899264.0
2024-05,Витебская область,Налог на прибыль,185232439.0,127588852.0,57643587.0,250864,6683662.0
2024-05,Витебская область,Подоходный налог,51750588.0,43957814.0,7792774.0,354698,991225.0
2024-05,Гомельская область,Акцизы,516843651.0,447032396.0,69811255.0,216967,7193002.0
2024-05,Гомельская область,Имущественные налоги,363792715.0,310960556.0,52832159.0,330709,5521246.0
2024-05,Гомельская область,НДС,122923990.0,99633982.0,23290008.0,113547,3173747.0
2024-05,Гомельская область,Налог на прибыль,435247185.0,347960985.0,87286200.0,108212,12053412.0
2024-05,Гомельская область,Подоходный налог,549399979.0,445476973.0,103923006.0,327651,17002376.0
2024-05,Гродненская область,Акцизы,84682163.0,74834016.0,9848147.0,321694,754089.0
2024-05,Гродненская область,Имущественные налоги,279726139.0,237041808.0,42684331.0,225065,5296758.0
2024-05,Гродненская область,НДС,528537084.0,399918618.0,128618466.0,46709,8928519.0
2024-05,Гродненская область,Налог на прибыль,118507693.0,100499693.0,18008000.0,98908,1787778.0
2024-05,Гродненская область,Подоходный налог,204717023.0,144095468.0,60621555.0,417492,10222962.0
2024-05,Минская область,Акцизы,293730886.0,191659445.0,102071441.0,66748,5518682.0
2024-05,Минская область,Имущественные налоги,349166174.0,294040053.0,55126121.0,28557,3095807.0
2024-05,Минская область,НДС,166043473.0,129873483.0,36169990.0,9014,3836642.0
2024-05,Минская область,Налог на прибыль,638055810.0,454058556.0,183997254.0,217853,31454331.0
2024-05,Минская область,Подоходный налог,397642231.0,286419356.0,111222875.0,348471,9067197.0
2024-05,Могилёвская область,Акцизы,69646217.0,63226407.0,6419810.0,261695,949847.0
2024-05,Могилёвская область,Имущественные налоги,452733395.0,342451563.0,110281832.0,280138,15328410.0
2024-05,Могилёвская область,НДС,475437610.0,312004898.0,163432712.0,85399,23454331.0
2024-05,Могилёвская область,Налог на прибыль,160121230.0,130095166.0,30026064.0,225331,2269264.0
2024-05,Могилёвская область,Подоходный налог,465422837.0,352115680.0,113307157.0,251539,14223291.0
2024-05,г. Минск,Акцизы,949584606.0,617655779.0,331928827.0,225344,53825377.0
2024-05,г. Минск,Имущественные налоги,1248132536.0,1046573143.0,201559393.0,224633,17993067.0
2024-05,г. Минск,НДС,741916590.0,584954978.0,156961612.0,391857,8579452.0
2024-05,г. Минск,Налог на прибыль,1615894527.0,1186703061.0,429191466.0,255154,27686304.0
2024-05,г. Минск,Подоходный налог,1425797823.0,942582615.0,483215208.0,549078,28277250.0
2024-06,Брестская область,Акцизы,118666056.0,82373913.0,36292143.0,208844,2794613.0
2024-06,Брестская область,Имущественные налоги,278283411.0,190783817.0,87499594.0,211916,15206770.0
2024-06,Брестская область,НДС,176836216.0,155591176.0,21245040.0,117215,1999411.0
2024-06,Брестская область,Налог на прибыль,83621864.0,66041923.0,17579941.0,373148,2089674.0
2024-06,Брестская область,Подоходный налог,434584367.0,311203716.0,123380651.0,211350,21246453.0
2024-06,Витебская область,Акцизы,381609564.0,329818107.0,51791457.0,235529,8809304.0
2024-06,Витебская область,Имущественные налоги,405584265.0,269116843.0,136467422.0,354364,20917646.0
2024-06,Витебская область,НДС,137409796.0,93729612.0,43680184.0,114947,4009810.0
2024-06,Витебская область,Налог на прибыль,498977877.0,424248930.0,74728947.0,389888,5221612.0
2024-06,Витебская область,Подоходный налог,591142381.0,448157947.0,142984434.0,245810,10629615.0
2024-06,Гомельская область,Акцизы,399449593.0,350885327.0,48564266.0,72262,5266904.0
2024-06,Гомельская область,Имущественные налоги,181812959.0,141387152.0,40425807.0,299664,3822372.0
2024-06,Гомельская область,НДС,347914607.0,226361374.0,121553233.0,203362,10516364.0
2024-06,Гомельская область,Налог на прибыль,357101370.0,262888120.0,94213250.0,174411,10358080.0
2024-06,Гомельская область,Подоходный налог,617319856.0,422764167.0,194555689.0,30679,25719633.0
2024-06,Гродненская область,Акцизы,122589272.0,80337278.0,42251994.0,258708,3199122.0
2024-06,Гродненская область,Имущественные налоги,458139177.0,313352488.0,144786689.0,155918,19803010.0
2024-06,Гродненская область,НДС,192919555.0,159775752.0,33143803.0,347797,5739831.0
2024-06,Гродненская область,Налог на прибыль,372206856.0,284072466.0,88134390.0,215970,8329327.0
2024-06,Гродненская область,Подоходный налог,504469001.0,382815219.0,121653782.0,155069,17466044.0
2024-06,Минская область,Акцизы,318231186.0,222272664.0,95958522.0,126024,10409744.0
2024-06,Минская область,Имущественные налоги,84913042.0,57959684.0,26953358.0,110265,1699448.0
2024-06,Минская область,НДС,316354232.0,258310876.0,58043356.0,53011,4149547.0
2024-06,Минская область,Налог на прибыль,529927543.0,402379728.0,127547815.0,149873,19183942.0
2024-06,Минская область,Подоходный налог,118125292.0,103952850.0,14172442.0,125219,2063037.0
2024-06,Могилёвская область,Акцизы,266901462.0,202315736.0,64585726.0,288728,8352844.0
2024-06,Могилёвская область,Имущественные налоги,402372309.0,296360328.0,106011981.0,114567,10808759.0
2024-06,Могилёвская область,НДС,92348722.0,66177436.0,26171286.0,314113,1748691.0
2024-06,Могилёвская область,Налог на прибыль,430257490.0,361147638.0,69109852.0,92230,8936447.0
2024-06,Могилёвская область,Подоходный налог,445733168.0,323847704.0,121885464.0,116166,20518504.0
2024-06,г. Минск,Акцизы,1442314181.0,965473542.0,476840639.0,243827,58115798.0
2024-06,г. Минск,Имущественные налоги,310223308.0,275078704.0,35144604.0,513274,6245466.0
2024-06,г. Минск,НДС,548831452.0,397952530.0,150878922.0,275409,17782831.0
2024-06,г. Минск,Налог на прибыль,202635074.0,158822690.0,43812384.0,507049,3869537.0
2024-06,г. Минск,Подоходный налог,438651019.0,315850121.0,122800898.0,86744,21454938.0
2024-07,Брестская область,Акцизы,633048011.0,466440748.0,166607263.0,363582,25687612.0
2024-07,Брестская область,Имущественные налоги,167416724.0,124792623.0,42624101.0,30861,6742093.0
2024-07,Брестская область,НДС,472432701.0,361100985.0,111331716.0,354665,12814236.0
2024-07,Брестская область,Налог на прибыль,98849226.0,90318469.0,8530757.0,138943,897615.0
2024-07,Брестская область,Подоходный налог,209686494.0,192461030.0,17225464.0,319735,2017786.0
2024-07,Витебская область,Акцизы,496408258.0,375537816.0,120870442.0,209245,17864985.0
2024-07,Витебская область,Имущественные налоги,110632830.0,97624208.0,13008622.0,112901,2035797.0
2024-07,Витебская область,НДС,110398177.0,76048375.0,34349802.0,213833,2146601.0
2024-07,Витебская область,Налог на прибыль,73195382.0,48265500.0,24929882.0,182781,3914155.0
2024-07,Витебская область,Подоходный налог,197114738.0,131717979.0,65396759.0,61291,3274248.0
2024-07,Гомельская область,Акцизы,174379070.0,122400363.0,51978707.0,265642,4552340.0
2024-07,Гомельская область,Имущественные налоги,233160661.0,179803468.0,53357193.0,407749,9435016.0
2024-07,Гомельская область,НДС,425920987.0,363128230.0,62792757.0,289090,4928892.0
2024-07,Гомельская область,Налог на прибыль,113642945.0,99123815.0,14519130.0,35790,984941.0
2024-07,Гомельская область,Подоходный налог,266619465.0,227400413.0,39219052.0,364203,2859770.0
2024-07,Гродненская область,Акцизы,209414873.0,136180024.0,73234849.0,12363,9814773.0
2024-07,Гродненская область,Имущественные налоги,472502299.0,373710567.0,98791732.0,73158,13629783.0
2024-07,Гродненская область,НДС,120641892.0,96867426.0,23774466.0,323870,3384753.0
2024-07,Гродненская область,Налог на прибыль,298570634.0,255169148.0,43401486.0,49532,4344403.0
2024-07,Гродненская область,Подоходный налог,298160198.0,197785750.0,100374448.0,376335,8413788.0
2024-07,Минская область,Акцизы,484067720.0,430292272.0,53775448.0,377846,3470658.0
2024-07,Минская область,Имущественные налоги,319774152.0,292536336.0,27237816.0,263783,1850528.0
2024-07,Минская область,НДС,602708711.0,419050632.0,183658079.0,340154,17208192.0
2024-07,Минская область,Налог на прибыль,109982119.0,77207395.0,32774724.0,172131,3440168.0
2024-07,Минская область,Подоходный налог,449240389.0,308784864.0,140455525.0,389187,9135444.0
2024-07,Могилёвская область,Акцизы,276811647.0,225554702.0,51256945.0,135113,8482384.0
2024-07,Могилёвская область,Имущественные налоги,61632772.0,45392983.0,16239789.0,57087,928675.0
2024-07,Могилёвская область,НДС,136449117.0,121490374.0,14958743.0,43410,2567226.0
2024-07,Могилёвская область,Налог на прибыль,38489462.0,27169172.0,11320290.0,87603,825226.0
2024-07,Могилёвская область,Подоходный налог,264372430.0,187201624.0,77170806.0,176605,10675694.0
2024-07,г. Минск,Акцизы,1121496496.0,906404202.0,215092294.0,179101,16874283.0
2024-07,г. Минск,Имущественные налоги,617757997.0,477676486.0,140081511.0,437968,18746618.0
2024-07,г. Минск,НДС,746288892.0,657163924.0,89124968.0,263995,10765520.0
2024-07,г. Минск,Налог на прибыль,1424118282.0,1301808163.0,122310119.0,584551,18273956.0
2024-07,г. Минск,Подоходный налог,1231784853.0,911779518.0,320005335.0,285442,53968048.0
2024-08,Брестская область,Акцизы,190738425.0,124261838.0,66476587.0,224707,6181863.0
2024-08,Брестская область,Имущественные налоги,588603397.0,386808820.0,201794577.0,302371,32444309.0
2024-08,Брестская область,НДС,495338414.0,423016864.0,72321550.0,91713,11389392.0
2024-08,Брестская область,Налог на прибыль,537452087.0,433360480.0,104091607.0,152889,5726127.0
2024-08,Брестская область,Подоходный налог,629104892.0,522544506.0,106560386.0,355221,18426165.0
2024-08,Витебская область,Акцизы,437600685.0,328154907.0,109445778.0,239877,7156865.0
2024-08,Витебская область,Имущественные налоги,96450180.0,75238486.0,21211694.0,47513,3768867.0
2024-08,Витебская область,НДС,562108045.0,451131636.0,110976409.0,333531,7865617.0
2024-08,Витебская область,Налог на прибыль,353855699.0,286783635.0,67072064.0,366347,6618692.0
2024-08,Витебская область,Подоходный налог,179373273.0,142575158.0,36798115.0,337944,6449436.0
2024-08,Гомельская область,Акцизы,151198406.0,114812267.0,36386139.0,49939,6428493.0
2024-08,Гомельская область,Имущественные налоги,444549553.0,305716010.0,138833543.0,205539,13152859.0
2024-08,Гомельская область,НДС,465744998.0,338497515.0,127247483.0,316540,20825762.0
2024-08,Гомельская область,Налог на прибыль,370380283.0,302620318.0,67759965.0,252711,7455259.0
2024-08,Гомельская область,Подоходный налог,76445501.0,59259975.0,17185526.0,18224,1224313.0
2024-08,Гродненская область,Акцизы,63165027.0,56674891.0,6490136.0,346395,699975.0
2024-08,Гродненская область,Имущественные налоги,414972314.0,282897492.0,132074822.0,127984,9278058.0
2024-08,Гродненская область,НДС,172161481.0,152411194.0,19750287.0,40835,2089055.0
2024-08,Гродненская область,Налог на прибыль,489579549.0,358115942.0,131463607.0,195458,22567520.0
2024-08,Гродненская область,Подоходный налог,266604079.0,211774871.0,54829208.0,168532,3029418.0
2024-08,Минская область,Акцизы,124911607.0,86793195.0,38118412.0,187771,3834048.0
2024-08,Минская область,Имущественные налоги,343334727.0,274560571.0,68774156.0,209543,6529763.0
2024-08,Минская область,НДС,364771856.0,256130485.0,108641371.0,485323,13755416.0
2024-08,Минская область,Налог на прибыль,622807140.0,460192734.0,162614406.0,425824,20136778.0
2024-08,Минская область,Подоходный налог,152886687.0,116245975.0,36640712.0,212865,6246509.0
2024-08,Могилёвская область,Акцизы,285154008.0,220489360.0,64664648.0,326768,6524397.0
2024-08,Могилёвская область,Имущественные налоги,484972666.0,386398970.0,98573696.0,410660,13960892.0
2024-08,Могилёвская область,НДС,317688397.0,289593029.0,28095368.0,110142,2449527.0
2024-08,Могилёвская область,Налог на прибыль,462394361.0,405696377.0,56697984.0,134480,8700448.0
2024-08,Могилёвская область,Подоходный налог,148023876.0,99983798.0,48040078.0,275183,7585648.0
2024-08,г. Минск,Акцизы,1195063951.0,899641439.0,295422512.0,495453,19688977.0
2024-08,г. Минск,Имущественные налоги,662052492.0,460783319.0,201269173.0,484730,22980385.0
2024-08,г. Минск,НДС,110911604.0,75308846.0,35602758.0,517534,4647727.0
2024-08,г. Минск,Налог на прибыль,1246384155.0,945184880.0,301199275.0,52622,37647477.0
2024-08,г. Минск,Подоходный налог,351462046.0,300026739.0,51435307.0,72939,9236137.0
2024-09,Брестская область,Акцизы,164717314.0,122528578.0,42188736.0,372493,5794245.0
2024-09,Брестская область,Имущественные налоги,530684415.0,456958766.0,73725649.0,341769,9800482.0
2024-09,Брестская область,НДС,332042410.0,305014165.0,27028245.0,48568,2833360.0
2024-09,Брестская область,Налог на прибыль,487322607.0,434752169.0,52570438.0,410315,3040832.0
2024-09,Брестская область,Подоходный налог,536156107.0,381502574.0,154653533.0,36509,8754681.0
2024-09,Витебская область,Акцизы,212049798.0,181376249.0,30673549.0,222499,2232221.0
2024-09,Витебская область,Имущественные налоги,274200141.0,189662656.0,84537485.0,47590,7428548.0
2024-09,Витебская область,НДС,470596379.0,359898970.0,110697409.0,405246,12813126.0
2024-09,Витебская область,Налог на прибыль,239561151.0,204049288.0,35511863.0,91547,3034000.0
2024-09,Витебская область,Подоходный налог,51289983.0,36322729.0,14967254.0,308675,1003557.0
2024-09,Гомельская область,Акцизы,711922237.0,515187631.0,196734606.0,289041,21059814.0
2024-09,Гомельская область,Имущественные налоги,352469329.0,245888245.0,106581084.0,99282,8667230.0
2024-09,Гомельская область,НДС,297833545.0,232310165.0,65523380.0,158968,4329536.0
2024-09,Гомельская область,Налог на прибыль,71307231.0,62042264.0,9264967.0,97106,753222.0
2024-09,Гомельская область,Подоходный налог,186734803.0,156924013.0,29810790.0,67912,4521923.0
2024-09,Гродненская область,Акцизы,398166405.0,270489337.0,127677068.0,214490,19546165.0
2024-09,Гродненская область,Имущественные налоги,322450033.0,252628291.0,69821742.0,13726,8648244.0
2024-09,Гродненская область,НДС,325584566.0,232375976.0,93208590.0,134749,15929389.0
2024-09,Гродненская область,Налог на прибыль,277702250.0,239849184.0,37853066.0,358206,2292004.0
2024-09,Гродненская область,Подоходный налог,232783142.0,205812076.0,26971066.0,225925,3499688.0
2024-09,Минская область,Акцизы,564480201.0,383267571.0,181212630.0,275778,21032458.0
2024-09,Минская область,Имущественные налоги,345112635.0,245628504.0,99484131.0,331908,17088097.0
2024-09,Минская область,НДС,707927040.0,625323949.0,82603091.0,282124,5102829.0
2024-09,Минская область,Налог на прибыль,794043568.0,555321014.0,238722554.0,295970,32817414.0
2024-09,Минская область,Подоходный налог,1035600521.0,795566156.0,240034365.0,282154,36053286.0
